Country,Mean,StdDev,Min,Max,Median,Range
Brazil,3.2729,0.2083,2.9367,3.62,3.2633,0.6833
Canada,4.0295,0.0851,3.89,4.1367,4.0067,0.2467
China,3.6476,0.0954,3.4833,3.7667,3.65,0.2833
Germany,4.2386,0.0691,4.1533,4.3333,4.22,0.18
India,3.3448,0.1281,3.2167,3.55,3.3033,0.3333
Indonesia,3.1681,0.1495,2.9,3.3567,3.1933,0.4567
Japan,4.0943,0.0539,4.0333,4.18,4.0767,0.1467
Mexico,3.2229,0.0927,3.0533,3.3267,3.2133,0.2733
Nigeria,2.7271,0.1993,2.4767,3.1067,2.7,0.63
Singapore,4.2038,0.1106,4.04,4.3667,4.1767,0.3267
South Africa,3.6938,0.1524,3.4467,3.8967,3.6767,0.45
United Kingdom,4.0833,0.1322,3.8,4.17,4.14,0.37
United States,4.0562,0.0673,3.9667,4.1533,4.0833,0.1867
Vietnam,3.2019,0.1729,2.9733,3.5067,3.16,0.5333
