Country,Z_Stat,P_Value,Trend
Brazil,0.0,1.0,No Significant Trend
Canada,-0.4506,0.6523,No Significant Trend
China,2.1026,0.0355,Increasing
Germany,0.0,1.0,No Significant Trend
India,1.2015,0.2296,No Significant Trend
Indonesia,0.9011,0.3675,No Significant Trend
Japan,-1.3517,0.1765,No Significant Trend
Mexico,0.0,1.0,No Significant Trend
Nigeria,0.9011,0.3675,No Significant Trend
Singapore,0.1502,0.8806,No Significant Trend
South Africa,0.0,1.0,No Significant Trend
United Kingdom,0.3004,0.7639,No Significant Trend
United States,-0.3004,0.7639,No Significant Trend
Vietnam,1.8023,0.0715,No Significant Trend
