Country,Slope,R2,Direction
Brazil,-0.0128,0.1302,Declining
Canada,-0.01335,0.3636,Declining
China,0.0059,0.1832,Improving
Germany,-0.00391,0.082,Declining
India,-0.01224,0.0853,Declining
Indonesia,0.0292,0.4898,Improving
Japan,-0.00291,0.0935,Declining
Mexico,-0.0108,0.2501,Declining
Nigeria,0.01091,0.1184,Improving
Singapore,-0.00192,0.0128,Declining
South Africa,-0.03683,0.2382,Declining
United Kingdom,-0.01153,0.3163,Declining
United States,-0.01497,0.3711,Declining
Vietnam,0.0566,0.5487,Improving
